,count,mean,std,min,25%,50%,75%,max
"('et-ET', 'sk-SK')",11220.0,3.4458110516934046,2.6113845169246797,0.0,2.0,3.0,5.0,16.0
"('lv-LV', 'pl-PL')",11226.0,3.445840014252628,2.55709974090943,0.0,2.0,3.0,5.0,15.0
"('hu-HU', 'cs-CS')",11226.0,3.467397113842865,2.6021503416072322,0.0,2.0,3.0,5.0,15.0
"('et-ET', 'ru-RU')",11220.0,3.4754010695187167,2.5798973740047093,0.0,2.0,3.0,5.0,16.0
"('sl-SL', 'nl-NL')",11226.0,3.4794227685729555,2.5789234241396115,0.0,2.0,3.0,5.0,14.0
"('sl-SL', 'ru-RU')",11226.0,3.4816497416711205,2.560462093713517,0.0,2.0,3.0,5.0,14.0
"('hu-HU', 'sk-SK')",11226.0,3.49135934437912,2.6101337865412333,0.0,2.0,3.0,5.0,15.0
"('fi-FI', 'ru-RU')",11226.0,3.4920719757705325,2.5949032519411666,0.0,2.0,3.0,5.0,15.0
"('sl-SL', 'bg-BG')",11226.0,3.492873686085872,2.556025762125485,0.0,2.0,3.0,5.0,15.0
"('lv-LV', 'it-IT')",11226.0,3.50026723677178,2.5612235939660977,0.0,2.0,3.0,5.0,16.0
"('hu-HU', 'fi-FI')",11226.0,3.5106003919472655,2.6079754079715274,0.0,2.0,3.0,5.0,14.0
"('hu-HU', 'bg-BG')",11226.0,3.5161232852307145,2.5981933364159566,0.0,2.0,3.0,5.0,15.0
"('hu-HU', 'es-ES')",11226.0,3.516212364154641,2.635301706984437,0.0,2.0,3.0,5.0,14.0
"('sl-SL', 'pl-PL')",11226.0,3.516835916622127,2.596508157370685,0.0,2.0,3.0,5.0,14.0
"('fi-FI', 'pl-PL')",11226.0,3.5448066987350795,2.6218537149310333,0.0,2.0,3.0,5.0,15.0
"('et-ET', 'pl-PL')",11220.0,3.5479500891265596,2.627533270168234,0.0,2.0,3.0,5.0,16.0
"('hu-HU', 'et-ET')",11226.0,3.5587920897915555,2.61739422639552,0.0,2.0,3.0,5.0,16.0
"('cs-CS', 'es-ES')",5346.0,3.5686494575383465,2.6287361277596606,0.0,2.0,3.0,5.0,15.0
"('hu-HU', 'ru-RU')",11226.0,3.572243007304472,2.604431907517961,0.0,2.0,3.0,5.0,14.0
"('sl-SL', 'it-IT')",11226.0,3.583110636023517,2.5913846944993577,0.0,2.0,3.0,5.0,14.0
"('lv-LV', 'fi-FI')",11226.0,3.5885444503830395,2.6144107541957284,0.0,2.0,3.0,5.0,15.0
"('lv-LV', 'et-ET')",11226.0,3.595492606449314,2.595423965622221,0.0,2.0,3.0,5.0,15.0
"('sl-SL', 'lv-LV')",11226.0,3.6078745768751115,2.581204357759587,0.0,2.0,3.0,5.0,14.0
"('hu-HU', 'pl-PL')",11226.0,3.6166933903438445,2.6304983845893832,0.0,2.0,3.0,5.0,15.0
"('lv-LV', 'es-ES')",11226.0,3.6193657580616425,2.618905905360323,0.0,2.0,3.0,5.0,14.0
"('et-ET', 'lv-LV')",11220.0,3.6220142602495544,2.6148963122363127,0.0,2.0,3.0,5.0,15.0
"('lv-LV', 'sl-SL')",11226.0,3.625512203812578,2.588989076252685,0.0,2.0,3.0,5.0,15.0
"('lv-LV', 'hu-HU')",11226.0,3.686085872082665,2.6123190528991294,0.0,2.0,3.0,5.0,15.0
"('sl-SL', 'fi-FI')",11226.0,3.7112952075538925,2.650936847765386,0.0,2.0,3.0,5.0,16.0
"('sl-SL', 'hu-HU')",11226.0,3.7112952075538925,2.6431625076155147,0.0,2.0,3.0,5.0,16.0
"('sl-SL', 'es-ES')",11226.0,3.7350792802422945,2.6442209251618425,0.0,2.0,3.0,5.0,14.0
"('sl-SL', 'et-ET')",11226.0,3.7373062533404595,2.6291210712375026,0.0,2.0,3.0,5.0,16.0
"('hu-HU', 'lv-LV')",11226.0,3.7386424371993585,2.613127334950034,0.0,2.0,3.0,5.0,16.0
"('fi-FI', 'sl-SL')",11226.0,3.7499554605380365,2.654762077977308,0.0,2.0,4.0,5.0,15.0
"('et-ET', 'sl-SL')",11220.0,3.769162210338681,2.6617582123264936,0.0,2.0,4.0,5.0,15.0
"('hu-HU', 'sl-SL')",11226.0,3.815428469624087,2.6776908542304687,0.0,2.0,4.0,6.0,16.0
"('ja-JA',)",11220.0,3.9008021390374332,2.799166353378793,0.0,2.0,4.0,6.0,15.0
"('lv-LV', 'zh-ZH')",11226.0,3.9172456796721895,2.609732021440921,0.0,2.0,4.0,6.0,16.0
"('fi-FI', 'zh-ZH')",11226.0,3.980848031355781,2.667546144765557,0.0,2.0,4.0,6.0,16.0
"('et-ET', 'zh-ZH')",11220.0,4.000089126559715,2.6839823896820065,0.0,2.0,4.0,6.0,16.0
"('ja-JA', 'da-DA')",11226.0,4.022447888829503,2.8066790072294894,0.0,2.0,4.0,6.0,16.0
"('ja-JA', 'sv-SV')",11226.0,4.027169071797613,2.8111884865186685,0.0,2.0,4.0,6.0,16.0
"('hu-HU', 'zh-ZH')",11226.0,4.033048280776768,2.685981741241638,0.0,2.0,4.0,6.0,15.0
"('sl-SL', 'zh-ZH')",11226.0,4.040976305006236,2.6533863038537353,0.0,2.0,4.0,6.0,16.0
"('ja-JA', 'el-EL')",11226.0,4.055407090682345,2.80784038768689,0.0,2.0,4.0,6.0,15.0
"('ja-JA', 'ro-RO')",11226.0,4.067254587564582,2.796342230416633,0.0,2.0,4.0,6.0,16.0
"('ja-JA', 'pt-BR')",11226.0,4.073846427935151,2.812409366003009,0.0,2.0,4.0,6.0,16.0
"('ja-JA', 'pt-PT')",11226.0,4.089168002850526,2.8196533112192412,0.0,2.0,4.0,6.0,15.0
"('ja-JA', 'de-DE')",11226.0,4.112150365223588,2.8153857064682297,0.0,2.0,4.0,6.0,16.0
"('ja-JA', 'cs-CS')",11226.0,4.123997862105826,2.8003085254130475,0.0,2.0,4.0,6.0,16.0
"('ja-JA', 'nl-NL')",11226.0,4.152324959914484,2.8254573600413244,0.0,2.0,4.0,6.0,16.0
"('ja-JA', 'sk-SK')",11226.0,4.175307322287547,2.8160057196132016,0.0,2.0,4.0,6.0,16.0
"('ja-JA', 'bg-BG')",11226.0,4.179494031712097,2.78937403912864,0.0,2.0,4.0,6.0,16.0
"('ja-JA', 'ru-RU')",11226.0,4.191074291822555,2.8018947716274263,0.0,2.0,4.0,6.0,16.0
"('ja-JA', 'it-IT')",11226.0,4.191252449670408,2.8289055387274766,0.0,2.0,4.0,6.0,16.0
"('ja-JA', 'pl-PL')",11226.0,4.277659005879209,2.833549198131878,0.0,2.0,4.0,6.0,16.0
"('ja-JA', 'es-ES')",11226.0,4.28104400498842,2.840093259930253,0.0,2.0,4.0,6.0,16.0
"('ja-JA', 'fi-FI')",11226.0,4.300374131480492,2.850001186709366,0.0,2.0,4.0,6.0,16.0
"('ja-JA', 'hu-HU')",11226.0,4.329413860680563,2.8262187594043744,0.0,2.0,4.0,6.0,16.0
"('ja-JA', 'lv-LV')",11226.0,4.349456618564048,2.8139341747630877,0.0,2.0,4.0,6.0,16.0
"('ja-JA', 'et-ET')",11226.0,4.382504899340816,2.848662781076026,0.0,2.0,4.0,6.0,16.0
"('ja-JA', 'sl-SL')",11226.0,4.401924104756815,2.838967132976989,0.0,2.0,4.0,6.0,16.0
"('ja-JA', 'zh-ZH')",11226.0,4.46071619454837,2.7936800428641035,0.0,2.0,4.0,6.0,16.0
"('lv-LV', 'ja-JA')",11226.0,4.522715125601283,2.8551474656484577,0.0,2.0,4.0,6.0,16.0
"('et-ET', 'ja-JA')",11220.0,4.555971479500891,2.890919573904774,0.0,2.0,4.0,6.0,16.0
"('sl-SL', 'ja-JA')",11226.0,4.573401033315518,2.865819107689776,0.0,2.0,4.0,6.0,16.0
"('hu-HU', 'ja-JA')",11226.0,4.575538927489756,2.8809247925854486,0.0,2.0,4.0,6.0,16.0
